input_id	dealiased_id	standard_id	short_id
pubmed:2421164	pubmed:2421164	pubmed:2421164	frlIOHF6
pubmed:10384155	pubmed:10384155	pubmed:10384155	Co2q7wGW
pubmed:10933046	pubmed:10933046	pubmed:10933046	XAATqqcP
pubmed:11577350	pubmed:11577350	pubmed:11577350	1EPTtuUwC
pubmed:32620049	pubmed:32620049	pubmed:32620049	WmlZCRJY
pubmed:22293174	pubmed:22293174	pubmed:22293174	1FeQXuztn
pubmed:32219196	pubmed:32219196	pubmed:32219196	1ANBEods8
pubmed:27055731	pubmed:27055731	pubmed:27055731	ZskbGdzO
pubmed:33883875	pubmed:33883875	pubmed:33883875	NpNgs3MN
pubmed:22573804	pubmed:22573804	pubmed:22573804	birrhfDh
pubmed:24919573	pubmed:24919573	pubmed:24919573	iu3K2Re2
pubmed:34266984	pubmed:34266984	pubmed:34266984	Jd20LSOU
pubmed:28031179	pubmed:28031179	pubmed:28031179	14e8SH74L
pubmed:35793866	pubmed:35793866	pubmed:35793866	opLvW6ox
pubmed	pubmed	pubmed	5wcn5cKj
pubmed:30523370	pubmed:30523370	pubmed:30523370	D1CL83QK
pubmed:31281894	pubmed:31281894	pubmed:31281894	C7vWKptH
pubmed:27882353	pubmed:27882353	pubmed:27882353	15N32xC4H
pubmed:29540684	pubmed:29540684	pubmed:29540684	azBrhAWn
pubmed:28100832	pubmed:28100832	pubmed:28100832	MbUnOneI
pubmed:30769193	pubmed:30769193	pubmed:30769193	14AepsRKS
pubmed:25503382	pubmed:25503382	pubmed:25503382	mrby0Utx
pubmed:35394838	pubmed:35394838	pubmed:35394838	idgKj6U7
pubmed:25378643	pubmed:25378643	pubmed:25378643	D5j8utVX
pubmed:29109077	pubmed:29109077	pubmed:29109077	AA0n9GoJ
pubmed:35434273	pubmed:35434273	pubmed:35434273	10pcMR68m
pubmed:30420856	pubmed:30420856	pubmed:30420856	14QT7odhh
pubmed:32256484	pubmed:32256484	pubmed:32256484	PTylkKvo
pubmed:28231819	pubmed:28231819	pubmed:28231819	4bMgR6bb
pubmed:24894089	pubmed:24894089	pubmed:24894089	14XHMKf5Z
pubmed:30275569	pubmed:30275569	pubmed:30275569	T85t6dGb
pubmed:31221182	pubmed:31221182	pubmed:31221182	OpgpEDjX
pubmed:27571406	pubmed:27571406	pubmed:27571406	wKh3Eizq
pubmed:34312556	pubmed:34312556	pubmed:34312556	Xzb4Cc04
pubmed:28875842	pubmed:28875842	pubmed:28875842	CJDtUahW
